prompt,completion
"""Ben, what do you have in your pocket?"", Alice asked. ""Oh, nothing."", Ben replied. But Alice saw that there was definitely something in Ben's pocket, and she was very curious what it was, so she","decided to take it. Alice opened the pocket, but it wasn â € ” the thing inside was empty and she couldn â € œ Oh, what is that?"". Ben was surprised. "" It looks so empty "", Alice asked Ben in confusion. "" It looks like something has gone in it, â € he said. "" Maybe you can find something else. â € Alice was very disappointed and didn â € œ What do you want?"" she wondered in the pocket. Ben looked at her and then at his face, "" Maybe we can look in it. â €™ "" Okay,"" said Ben with a smile, â € Yes, "" but we have to find out who left it here."" So Alice and Ben looked around and eventually found an old woman who had been watching the entire afternoon. She was very happy and gave Ben a huge smile, then asked them if he wanted to help with something in the empty drawer! Alice and the two children were excited and agreed. Together, the children opened up a drawer full of treasures. Alice and Ben were so excited and thanked her. The old woman said goodbye and went on her way with the things in her hand, never leaving them. The end!"
"""Ben, what do you have in your pocket?"", Alice asked. ""Oh, nothing."", Ben replied. But Alice saw that there was definitely something in Ben's pocket, and she was very curious what it was, so she","decided to take it and see. She put it in Ben ' hand and asked him, "" What is that?"". Ben looked down and said, â € œ That is my new toy. I found my own toy and I think I can take it home. I want you to have it back. I want it back "". He was a little bit confused but agreed to let Alice take his new toy home. The two of the friends were very excited when Alice returned to the same toy and said to her friend "" I found it and I want to give it away to someone. I think they want my toy "". Her friend was so happy that Alice found it, and said "" That â €™ s so kind, Ben! I â €. Alice was happy that her friend liked her new toy, and they decided to take turns playing with it. The moral was that it â € œ It â € ” it is better for you and that it â ‚ â €™ s the most important things. It can bring joy to others, and it â ‚ â €"
"One day, a bird was flying high over the sea. At some point the bird noticed small boat with a boy sitting inside. The boy looked lost so","the bird flew closer and asked, â ‚, â € What is that boat doing? â €™ The boy answered and told her he was looking for something important, like a boat or an anchor or a boat. The bird was very excited and asked the little boat, what he was going on. â € It â € The little boat told her it was a boat and it wanted it for the boat. She told it to be very reliable and not to go out too far away from her home. So the bird stayed close by, but she knew it was important for the boat and she decided it would take care to the boy. The boat sailed across a big blue sea and eventually the little boat was safely out on land."
"One day, a bird was flying high over the sea. At some point the bird noticed small boat with a boy sitting inside. The boy looked lost so","he asked the bird, ' What are your name?' But the boy just smiled. He told the bird, ' My friend ' m Tom. Would I help you?' The boy nodded his shoulders. He took Tom on an aeroplane and off the water. The bird flew over to the boy and said, '' I have a special surprise for you.' Tom was so excited. He asked, "" Where is your surprise?' But the boat didn ' t answer, it just floated away. Tom sighed again. The boy said goodbye and the boat continued to float away into the sea, never forgetting its special surprise. But Tom never found the bird ' d found. The bird was sad. He never knew where Tom was, and it never found him, and the boy was gone. The boy had lost his best friends. The boy was never seen again and he was very lonely in a very distant land. The bird never saw the boy or the aeroplane again, and he was very sad."
"One day, a bird was flying high over the sea. At some point the bird noticed small boat with a boy sitting inside. The boy looked lost so","he decided to go for a look at him. He flew closer, until finally, the boat stopped and a man with the boy was there, looking at it. He said, ' Hello there! What ' d you like for dinner?'' The bird said, "" Yes, please!"" The boy said, '' What do we have to eat?"" The boy said ' Let ' d like some bread, some cheese.' So, he took out some bread and put the bird on the boat and started eating the food he brought. He said, '' Yum! That was delicious!' After he was done the boy asked for another piece of food. But, the bird had to fly away. The man was very sad. He wanted the little boat and his boy to come and eat it for dinner. He had to fly back home, so he said ' Bye - bye ' and waved to them before he went home. The bird flew off into his nest and the man was very sad. He had no food and he was never seen or where it would take them again! The end!"
"One day, a bird was flying high over the sea. At some point the bird noticed small boat with a boy sitting inside. The boy looked lost so","he couldn â € ” he had no idea what he wanted! The bird asked the man if the boy would like some help to find the boy ' s boat, so they went on their way together, searching for a boat. They looked in every corner of the beach, but they couldn â €™ t see it! The boy started to get worried, so he asked the bird, who told the boat that they had no idea of a way to find it! But then the boy remembered something his mother said - she had a special whistle in the water. He took a deep, deep breath, blew it and blew it up! The whistle was a big, strong whistle! When he blew into his whistle and blew, he was back on shore with the bird. The boy was happy and relieved to be reunited with his friend!"
"One day, a bird was flying high over the sea. At some point the bird noticed small boat with a boy sitting inside. The boy looked lost so","he asked his dad if they had a boat to take him on the sea. The dad said, â ‚, â €™ Yes, I think we should try to make it a good boat. We need to make a plan to find a boat to sail across. So they went off in search for a new one, and the dad said it was a good plan, so he started searching. The bird found a boat and the man said it would take him there. So the dad hopped in the boat, but it wasn ' t easy. The dad said it was time, so they had no choice but to keep looking until the boat finally found the right place for him to go! He was happy that he had found the boat. The boy thanked him, but he said it had to end. He waved and flew off, happy and free in his boat! The end"
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try","to reach one?"" His dad smiled and replied "" Sure, but you must be patient and be very quiet."" Jimmy nodded his head eagerly, but he couldn ` ve heard a loud rumbling noise. Suddenly he heard his father say to Jimmy "" Don ' t touch those trees, it is very dangerous. Let it be."" He knew he was in trouble. He was worried he would have to be punished for not being obedient and not being careful. Jimmy was scared, he was sure the noise might be coming from the tree and it would make the loud noises. Jimmy ' s dad was right - it was a very important warning and he was not able it in the first spot. He was very proud and he told his son to always be very quiet. He also said "" It ' ll only be a warning if something is not allowed "". Jimmy was relieved that his dad wasn ' t too upset. He knew it would have been the last one. Jimmy was very happy to have learned his lessons, and he was glad that he listened to the warnings from the tree and was careful to be a very good boy. He knew he would always be a good listener and he would never have a dangerous experience again. Moral : Always listen and follow your father. If you want to be safe or naughty, you can be very careful and obey your father â €™ s instructions."
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try","some of those fruit?"" His father said yes. Jimmy was so happy that he ran to pick one and started eating the fruit. Suddenly he felt a strange sensation in the air! He was scared but then the fruit began moving. He was so scared that he ran away and his face turned pale with a frown on the face and tears started rolling away! Jimmy was so scared he started to scream and ran away from the fruit, leaving his face pale with tears in her eyes. He never went on the school again, but his father was too scared to help him and so he never got to eat the strange fruits again! Jimmy was sad and he was never going on school for the rest he had seen on his first time."
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try","to get some fruit?"" His Dad smiled and replied,"" Sure!"" So they walked to the tree and his dad carefully picked one fruit off the branches and put it into a bag for him. When he was done, Jimmy was excited. But then he saw that one of the fruit had fallen from the branches. He was sad and started crying again. He asked his dad what happened and his father replied "" I think it was a foolish idea to pick it."" But his father said "" It looks very stupid, so let me help you pick another one."" He picked one more fruit, and this made Jimmy very excited. He was very careful not and the two were soon having lunch at home."
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try","one of these fruits?"" His dad replied with a twinkle of excitement, "" No Jimmy, those are too high for us. We need to get an adult to get them."" Jimmy felt sad but then he saw his dad. His father smiled, and said "" Let ' s try and get some fruit instead!"" Jimmy ' s dad took out his bag of apples, then put them on the counter. Jimmy was so proud when his father said "" Now you have some fruits, Jimmy. You are a very smart and brave young man. You know how much I value the tree!"" Jimmy smiled, feeling very happy."
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try","to taste them, Daddy?"". His Dad replied with an understanding look, and he handed Jimmy a small, round, round, and round thing. "" This looks very tasty,"" his dad replied with an eager smile. Jimmy took a big sniff and tasted the fruits, but they tasted bitter. "" This one tastes sour "", Jimmy said, his face scrunched. "" I ' ll put the rest away, Jimmy,"" said Dad. So they went to the kitchen to get some juice. Jimmy was so excited that he could hardly wait. When Jimmy got to his desk and took out a bottle from his pocket, the juice had been poisoned. His Dad had put it in the fridge for him to try. He had to be careful and only drink a little while he was eating the juice."
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find","something to do! Joe agreed and off they went. They walked for a while until finally, they found a park with a big slide! They both jumped on it, laughing and having a good turn. Joe was so excited, and said "" Let â €™ ve had a lot!"" So they both went down to slide, and then slid down again and forth. They had a lot of fun! When they were done, Jack and Tony were tired. But they were happy because now that their adventure would be over. They had had lots of fun together. They both knew that even if they were boring at times, it could be fun!"
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find","something fun to play. So they set off in the woods. Jack was so happy! He saw some trees, some flowers in a meadow and he even found a little pond. Joe and Joe had a great time playing in their garden. After some days Jack was tired. He wanted something to eat and eat. So he looked in his pockets, but all he found was a little toy car. Jack was excited and said, "" Let ' s take this to the pond!"" So they both ran over to the edge of a pond, but Jack stopped. Joe said he wanted something to chew on the grass. So Jack gave him a piece. Jack chewed it up and said, "" Yum! It tastes good!"" Jack smiled. Then Joe and Jack ran to get something to eat. Jack found some tasty apples, and Joe got some yummy fruit. Then, they went back and played together in the woods, until they were both too tired to go back to their house and go to sleep."
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find","something special to do! So they set off on a long walk to look. As Jack was walking, they noticed a big tree in front of the road. Jack thought it looked fun, so he said "" I think we should climb the tree!"" So, they did. Jack was so excited, but Joe said, ' Let me climb it!' Jack said, "" OK, I will be careful."" So they started climbing, but Jack was still a bit scared, so Joe encouraged them to keep climbing until they got back down safely and back to their homes in the distance. They both laughed as Jack said, â €™ Let us come back soon!"
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find","a way to have some tea. Joe thought this would help. He was excited, he had never had a tea before. So, they set off together to look around. After searching for a while, they finally spotted a big, beautiful tea set in their backyard! Jack said, ' I want this tea, it looks delicious!'. But Joe said no and told him it was his own tea. Joe was disappointed but he decided to go find something better to drink. Jack was sad, he had no choice, but then Joe said, ' I ' ll come with you, I promise '. Jack and Joe were happy and ran back to their house to have tea. They were no longer lonely and had a wonderful tea party! The two friends were very glad to find a way for them to talk and play with each other."
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find","something to do. Jack thought it sounded fun, but Joe said it wasn â €™ t easy. So they decided they would go to an opera instead. When they reached their house they saw lots and many lights, they couldn ` for a little bit, but Jack was determined to find out what the people had to say. Joe thought for a minute. He wanted something to do. Then he said he had a great plan - he would give Jack a special toy. He gave Jack a beautiful toy and told Jack that he could keep the money if he promised he could do something for him. Jack was so happy. He said he would do what he wanted to do, and the two of them set off on a grand adventure. They had so many fun and Jack even found some candy. Jack and the two best friend laughed and smiled as the opera went off into the sunset, and they both knew it was a day that they would remember. They were so glad that they were brave and found the perfect toy to keep."
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the","growling sound and came across two bears arguing in a clearing nearby. They were arguing over which one was the strongest of all the children in a hurry. Jack and Bob were getting closer, but Sally was very scared. She said : â €™ Let ' ll go, let ' s hurry and find another one. â €™ But Jack was still too excited, he wanted a different one and he wanted to go home right there and play. The bears kept arguing and eventually, the bears agreed that Jack would be able if Sally was patient enough. Jack and the bears were so happy, they hugged and said their farewells with a loud â €™. Jack smiled and thanked the two animals before they went home, feeling proud and brave for helping out the bears fight the bears."
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the","sound and came upon the most beautiful flower bed. Jack was amazed. It had a bright pink bow in its center, and he wanted one too, and he reached for one, when Sally said, â €™ Jack. He put her arm up to her and said ' Let me pick it for you.' Jack was a bit hesitant at first, but then he decided to give it a go, so Sally carefully plucked the flower. Jack smiled and said ' That was the prettiest flower I ' d have ever seen!'."
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the","noise. When the noise got louder they heard a loud, scary noise! They were scared and ran away. Jack was still scared and he started to yell, "" What is that?"" Sally was very scared. She ran faster, but she couldn ' it. Jack was still running and shouting. Suddenly Sally saw a big bear coming towards them! She started to run, and the bear stopped. Jack was relieved and he hugged her. They were both safe! They both laughed and ran back to the safety. They were so relieved to find out the bear had been so loud."
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the","sound and came to the edge of an old shed with an open window. They peered through the windows to try out the door but they couldn ' brave the urge. They decided that they could try to find a way in, but it wouldn â € ” it would not work! They decided they needed help from someone else, but they were afraid. Suddenly, they saw their neighbor walking by with an old man carrying a box of old toys. He smiled at the children. â €™ He said he was happy he could help them and said he was going for them for a special treat - a big surprise! Jack was excited, but Sally said she didn â €™ t know what it would make. She said they should go back home and ask their parents for help to open the door for them! The two of the children rushed back, and sure, sure enough they opened the old man with the box and the old surprise inside. It turned into an old, old, dusty box, and inside it was the most wonderful toy they ever seen! Jack, Bob and Sally hugged their old, new toy and were overjoyed! They had found a surprise that day â €™. It had led the surprise to a magical place, and now they knew what they would never forget it â € “ the old man had brought them the surprise!"
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the","footprints until finally they came upon the clearing in a clearing with an enormous tree. Jack looked up in amazement and shouted, â € What â €™ d you like for lunch? I want a sandwich! â € Sally nodded and said â € I will bring it for us! â € She reached out and grabbed the sandwich from behind Jack. She smiled and took the sandwich from him and said, "" Let ' ll have lunch soon!"" Jack and Sally ate the delicious sandwiches and talked until the sky grew dark, but they were both happy."
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen","if you have any butter to eat?"". The squirrel thought for a minute then said "" I don â ‚! You should have some butter "". She gave it to Rollie and he was so happy that she could eat it. He ate the butter and was no happier. But as she continued on, she noticed that the sun was setting. It started to rain, but she was still very hungry. Suddenly she saw the sun coming out of a nearby house and she quickly grabbed her food. She ran inside, feeling much less thirsty and was able not be hungry anymore. She finished her baking and was happy that she was safe. The sun had gone down and the sky was blue again, but she had a lot of fun! She went to sleep, happy to know her cake. The sun shone brightly and the stars shone brightly. She smiled and went to bed with the sun still shining. And she was happy to have found the perfect way to make the day. The End."
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen","if I can find sugar?"" But the squirrel said "" no!"" She was sad. Suddenly she had a brilliant plan! She asked her mom if they should go on a walk. They went on a walk and saw lots of animals and plants. She asked them if she could help them find some sugar! The animals said "" Sure "", and so they went on a journey to look around. They found some sugar, and they were able not been searching until the sugar had gone away. Then they all said "" thank - we did a good thing today "". They all went on a walk and enjoyed a yummy treat. When they were finished eating they went home. The little rabbit was happy and full and thanked them. She said "" That ' re a very clever bear "". The end"
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen","if you help?"" But the tree said nothing. So she kept walking, but the tree was very high and the branches seemed too thin. She kept going, and the tree started to get taller. Finally, the little tree was able not climb up the branches. She looked up and saw a beautiful cake in the distance, and the tree seemed very inviting. The tree had a lot more delicious cakes and nuts, so she asked the tree, "" Would anyone want a piece?"" The tree replied, ' No, it won â € “ I ' m sorry but I have to go. I will give some of your cake to someone who wants to eat it.' So, the little bear waited and watched the beautiful cake, until it finally arrived. When the cake was finished, she was very excited. But, she realized that she had forgotten to ask the tree if it was ok. So the next day she went out again and asked the tree if she could have the yummy cakes, but this tree was not very friendly either and it said it would not permit the little bear. The moral of the Story learned to always remember the importance of kindness. Even when you have something that is tempting to do alone. You should always ask permission and ask for help. That is a lesson for everyone!"
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen","to help?"" The bird replied with an envious voice, "" Yes! What should we make?"" The squirrel said "" We need sugar to make it."" The little squirrel was excited and they both went to the forest. When they arrived at the store they bought the ingredients they wanted, then went home and began to bake the cake together. The little bird helped the bear and they made a big, beautiful cake! The little bird said, ' Let us share this with our other friends."" Everyone was very surprised, because they had never seen a bear so happy with the sugar. The little bird said to them "" We can all share this sugar, and everyone can be happy together "". So they did, and they all shared the cake. The bear and squirrel had lots and it made the most delicious cakes! The little bear was no longer envious of the other animals. They had made a great cake and everyone was very proud. The little bear and squirrel had made a great team and it had made the world a happier and happier one day!"
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen","if I have any sugar to eat?"". The bird thought for a while, then said, "" I think I know! I know a secret place that I ' ll make you something yummy!"" So, she flew away to the secret place. She came back a small pond with lots and lots of fish. She put all of the ingredients in a bowl. She mixed it all around until the mix looked yummy. She took the fish home and put them into a big bowl with a lid on top. She put the fish in the pot, and waited. The fish was ready, but she noticed that it had something else. The water in the bowl had started dripping! The fish started to swim around and it made the mixture all messy. She quickly put all her food away, and the water started to soak. She quickly put the fish into the oven, and waited for a few hours to bake her special cake. Finally it smelled so good! When she took it off, the kitchen smelled even better. It looked delicious! The moral value of her story : don ' ve been brave, and sometimes it can lead you somewhere special. You can find the best things to make yourself a cake!"
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that","it was too heavy for them. Anna ' s friends were sad to hear this. They asked Anna to come with them and help them lift her heavy bags. Anna said yes and they all carried it to school together in the school. Anna was happy and excited, because she had her backpack filled and was able that she could carry all the heavy things inside the school! When Anna arrived home she put her heavy backpack on and went straight for the playground. She played with the children all day long and had lots and fun. At the End, the children said goodbye, but they promised they ' re back soon. Anna smiled and went home, feeling happy that the day had come to a happy day! She was so glad that her backpack was now full, even with the help from her friends!"
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that","her friends had to carry it for the first few days and that she needed to take care to make the backpack heavier so it wouldn ` t get too heavy! Anna was a little worried, but then her teacher smiled and gave Anna an idea - to make her heavy snacks easier to take care of the heavy backpack! She asked her friends to help and they all started to work on it together. They were able to lift the heavy bags of food, and it was soon full of delicious treats for Anna to take with the rest. Anna was so proud that her backpack had been able to help her. She had worked hard, but she had managed to lift it and make the heavy snacks easier. She was so excited to have a backpack of her favorite snacks and she was sure she would be able to share her knowledge with her friends again the following morning of her first day of the school day!"
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that","she wanted to take the heavy bag with her. But she had to carry her bag because she wanted it so badly! Her friend was a bit worried, because she was afraid of the weight. But Anna was very determined, and she kept walking. When Anna arrived, the bag felt heavier. She tried and struggled to lift it but it was still very heavy! She started to get frustrated. But then she saw her friends helping. She offered her help to carry it with the bag, and together, they carried the bag with them. Anna and her friend were so excited to have their own bag with their help! From that moment onwards they always helped to carry heavy things, even when things were difficult! They never had any problems like that. Anna ' s bag was the best part to the day of the school. And that ' s how the group learned to always help each other out, even when it seemed difficult to lift. Anna was very happy and proud that she was so brave enough. She knew it was a way for them both! Anna was very popular in school and she had so much joy that day."
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that","it had been in the way of the school, so it was so heavy! Her teacher smiled, but she told Anna to take it to her classroom instead of carry it, and she could show her classmates. Anna was very excited to take her heavy bag with the help from her classmates. She was determined and worked hard, and when it arrived at school she proudly put it inside. Everyone cheered for her, even though it was heavy! She felt very special, and was glad that her friends had been there to carry the bag for her."
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that","her teacher had given them so much money, and they wanted to keep her backpack full of things she had to take with her. The next day Anna went out and saw that all the children in the class were carrying a big box of toys. Anna was excited to see them and wanted one too, too, but she didn ' t know if she could do it. Anna decided to take a chance and try one by herself, she was able. With a big smile on her chest and the children gave her one toy to carry. Anna had learned an important lesson - it was important to be kind and share, even when it ' s heavy! She had a big heart, and was now the most special kid in the world! She was proud to have her heavy backpack and to help her classmates in school."
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"she wanted a toy, so they went out to find something to play. She found some old blocks, a few pieces of cardboard, but they didn ' t have anything to play. Suddenly Anna saw a big, shiny box with lots and lots and a lot of toys in it. She was excited to see what it could be. Her parents told the box was full of toys, so Anna could take them home. She was happy, but she was still a bit sad. But when Anna opened the toy box she found lots more exciting. There, there were lots and more toys to play with! Anna smiled as the toy pieces were all her favourite things. She played with all of her toys until she was too sleepy. Anna ' s mom and dad had to go back to their car, and they were happy to have her back home again!"
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"she wanted a toy, but they said it would cost a lot more money for her. So Anna went outside anyway and started to complain about it. Her parents were very understanding. They decided that they would take Anna to a special place where they could play with a toy. When Anna saw it she smiled and said, â € œ Yay! â € She was so glad that she could finally get the special toy! She was very glad and she played with it for hours and had lots of fun! Anna ' mom and dad were so happy that they could make her smile again!"
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"she wanted a special surprise but she couldn â €™ t find anything she loved the most about her parents. She was very upset and started to complain even louder than before. Her mom was so sad and tried her hardest. Finally her dad came back and he said he had a surprise. It was something very expensive, but he said that Anna could go and get it if Anna wanted to. She happily accepted the surprise and they went to get the surprise. Anna was so delighted and hugged her parents. She was no happier."
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"they take her to the park. Her parents were not happy but they said they would have fun. At the playground, there were lots to explore. Anna saw lots of different things and was very curious about them too. She asked her dad lots more, but her dad just smiled, because he knew Anna was happy. Anna had so many adventures at home. Her dad was happy to be with his daughter and she was so glad she was able to make it better. She had a lot of fun playing in the backyard, but it was also important to take a break when she wanted a snack! Anna was so thankful for the fun time that her dad had suggested such a wonderful time at home! She had learned an important lesson that she would never forget."
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"they stay home, so her dad decided to go away. Anna ' s mom and her dad were very angry with the delay, but they knew it was the only thing they could do. They said goodbye, but they were not happy with the decision. The delay was so much that they decided to take Anna to a new town. It was very exciting and Anna was very happy when they finally got to go to town. Anna had a wonderful adventure and was glad her parents were there to keep her company. From now onwards she always insisted on getting her own plans, and never again insisted on having a bad ending! The end."
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped","some eggs on the counter, while Grandma watched with her fingers on a plate and then put it in the pot on the counter. Jenny was so excited! When the food was done, they put it on the stove and watched the meal. Grandma said it smelled delicious and Jenny couldn ` cream on top. When the dinner was done they all enjoyed a delicious dish of the tasty meal! Grandma said, â €™ I ' ve made this meal with love and kindness, so we can all have a yummy meal together. â €™"
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped","some eggs and the flour spilled all over the floor, making the floor slippery. She laughed as she tried to clean up the floor with her tiny hand. Grandma was proud and happy. Grandma smiled, and said to her, "" Thank you, Jenny. I love to help!"" Jenny smiled back, happy with the result. Grandma and Grandma worked hard to finish the meal. It took some hard, and they had to be very careful not to spill any of their ingredients. At last they were finished and it looked amazing - the meal they had prepared together and they were both so excited! Grandma and Grandma enjoyed their meal, happy that their daughter had helped prepare such a tasty dish for her."
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped","a spoon and it spilled all around. She said, "" Oh no!"" But grandma was very kind. "" Don ' t worry,"" she said. She helped the little one pick out the flour and put it on the table for a snack on top. Grandma smiled. "" You ' re such an excellent little girl!"" Grandma gave her a high - bye hug. Then she said, "" Let ' ve enjoyed your dinner!"" Jenny smiled and they both went back outside."
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped","the ingredients, spilled some on Grandma ' hands. Grandma laughed. "" Oh, that looks fun,"" Grandma exclaimed, giving her granddaughter the spoon. Jenny smiled, grabbed a handful of ingredients from her plate and began to mix the ingredients in a pot. Grandma watched and smiled. When it finished, the kitchen smelled so good! Jenny and her grandma ate their delicious dinner. It tasted even yummier. Grandma said with joy : "" I love making meals!"" Jenny smiled, feeling so proud. Grandma was so happy that Jenny enjoyed helping. They finished their dish, and then Grandma gave her a kiss. "" I ' ll always be here when I need help!"""
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped","a few things on the floor and it started making a mess. Grandma laughed and helped Jenny pick it up, then they put them all in their bowls, mixed them together, and put them on the table. Grandma said to her daughter,"" Let â € ” help you make this dish nice!"" Jenny smiled and said â € I can do it. Grandma smiled too, she was so pleased. Together, they put their dishes into a big pot. They put in some spices, stirred them, and put the food into a pot with some spices, and then they put the dish on the table. It looked yummy and they both ate until the meal was ready to eat it. Grandma was very happy to see them enjoying her meal."
"Once upon a time there was a boy named Max. He was at the market with his mother, where he saw two things he wanted very much: a toy car and a jumping rope.
He knew that his mother would not let him buy both of these things, and that she would probably tell him that he has to choose one. He said to her, ""I want both","of those things, and that will make me happy!"" His mum said to the shopkeeper, "" That is a very nice price. We will take the toy home, so we won â ‚ up your room and you will be able for one thing!"" The shopkeeper was so pleased that Max had chose the toy car and gave it to Max. Max and the shopkeeper had a lot to take home, so they decided that Max would take his toys and jump with it. Max had so much fun with all the things that the shopkeeper said he would take with them. Max was very pleased with his toys and thanked the shop keeper. He said goodbye, and then went back to the shop to play with the toys, and his mom said, "" Max, I think that you are very kind. You can choose any toy that is very expensive."""
"Once upon a time there was a boy named Max. He was at the market with his mother, where he saw two things he wanted very much: a toy car and a jumping rope.
He knew that his mother would not let him buy both of these things, and that she would probably tell him that he has to choose one. He said to her, ""I want both",", but can I buy one thing instead?"" His mother smiled at his and told him that he should be happy and choose one thing each time. She said, "" You should be thankful to the things in life and to be grateful. â € Max was so excited that he hugged her tight. His mother smiled and gave her son an extra big hug, and they went to buy something together. Max learned a valuable lesson : being grateful and kind to others is the best choice of life."
